iter	Passed	Remaining
237	654	2095
238	656	2090
239	658	2085
240	660	2078
241	662	2074
242	664	2070
243	666	2065
244	668	2060
245	671	2056
246	673	2053
247	675	2047
248	677	2043
249	680	2040
250	682	2035
251	684	2031
252	686	2025
253	688	2021
254	690	2017
255	693	2014
256	695	2010
257	698	2007
258	700	2004
259	702	1999
260	704	1995
261	707	1992
262	709	1988
263	712	1985
264	713	1980
265	716	1977
266	719	1975
267	720	1968
268	723	1966
269	726	1963
270	728	1959
271	732	1961
272	736	1960
273	737	1955
274	739	1949
275	742	1946
276	745	1946
277	748	1942
278	750	1938
279	752	1935
280	754	1930
281	759	1933
282	761	1929
283	764	1927
284	766	1923
285	768	1919
286	771	1917
287	773	1913
288	776	1910
289	778	1907
290	781	1904
291	784	1901
292	786	1897
293	788	1894
294	792	1893
295	794	1888
296	795	1884
297	798	1880
298	802	1881
299	804	1878
300	806	1873
301	809	1870
302	811	1867
303	814	1863
304	815	1858
305	820	1861
306	823	1858
307	825	1855
308	827	1851
309	830	1848
310	832	1844
311	834	1840
312	837	1837
313	839	1833
314	840	1827
315	842	1823
316	844	1819
317	846	1815
318	848	1812
319	850	1807
320	852	1803
321	855	1802
322	858	1799
323	860	1796
324	863	1792
325	865	1788
326	867	1785
327	869	1781
328	871	1777
329	873	1773
330	875	1770
331	877	1766
332	880	1762
333	881	1757
334	882	1752
335	884	1748
336	887	1745
337	889	1741
338	891	1738
339	893	1735
340	895	1731
341	898	1727
342	900	1724
343	902	1721
344	904	1717
345	906	1714
346	908	1709
347	910	1705
348	912	1702
349	914	1698
350	917	1695
351	919	1692
352	921	1688
353	923	1685
354	925	1682
355	928	1679
356	930	1675
357	932	1672
358	934	1668
359	935	1663
360	937	1659
361	939	1656
362	946	1660
363	949	1658
364	951	1655
365	954	1652
366	956	1650
367	959	1647
368	961	1644
369	964	1642
370	966	1638
371	968	1635
372	971	1632
373	973	1629
374	975	1626
375	977	1622
376	980	1619
377	982	1617
378	985	1614
379	987	1610
380	989	1607
381	992	1606
382	994	1602
383	998	1602
384	1002	1600
385	1004	1597
386	1006	1594
387	1008	1590
388	1010	1586
389	1012	1583
390	1019	1587
391	1023	1587
392	1025	1583
393	1027	1580
394	1029	1577
395	1032	1575
396	1037	1575
397	1039	1572
398	1041	1569
399	1044	1566
400	1047	1564
401	1050	1562
402	1052	1559
403	1054	1555
404	1056	1552
405	1058	1549
406	1061	1546
407	1062	1541
408	1065	1539
409	1067	1535
410	1070	1533
411	1073	1531
412	1075	1528
413	1077	1524
414	1080	1522
415	1082	1519
416	1084	1516
417	1087	1513
418	1089	1511
419	1092	1508
420	1094	1505
421	1097	1502
422	1098	1498
423	1101	1495
424	1103	1492
425	1105	1489
426	1108	1487
427	1110	1484
428	1113	1482
429	1117	1481
430	1119	1477
431	1130	1486
432	1134	1485
433	1139	1485
434	1144	1486
435	1146	1483
436	1149	1480
437	1153	1480
438	1155	1476
439	1158	1474
440	1160	1471
441	1163	1469
442	1167	1468
443	1171	1467
444	1173	1463
445	1175	1460
446	1177	1456
447	1182	1457
448	1186	1455
449	1189	1453
450	1191	1450
451	1193	1447
452	1195	1443
453	1198	1441
454	1201	1438
455	1203	1435
456	1205	1432
457	1208	1429
458	1210	1426
459	1212	1423
460	1213	1419
461	1217	1417
462	1219	1414
463	1220	1409
464	1222	1407
465	1225	1404
466	1227	1400
467	1230	1398
468	1233	1396
469	1236	1394
470	1239	1391
471	1241	1388
472	1242	1383
473	1244	1381
474	1246	1377
475	1248	1374
476	1251	1371
477	1254	1369
478	1256	1366
479	1257	1362
480	1259	1359
481	1261	1356
482	1263	1352
483	1266	1349
484	1268	1346
485	1270	1343
486	1272	1340
487	1274	1337
488	1276	1334
489	1278	1331
490	1280	1327
491	1283	1324
492	1285	1321
493	1287	1318
494	1290	1316
495	1292	1313
496	1294	1310
497	1296	1306
498	1298	1303
499	1300	1300
500	1301	1296
501	1304	1293
502	1306	1290
503	1308	1287
504	1310	1284
505	1312	1281
506	1314	1278
507	1317	1275
508	1319	1273
509	1322	1270
510	1324	1267
511	1327	1265
512	1329	1261
513	1331	1259
514	1333	1255
515	1335	1252
516	1338	1250
517	1340	1247
518	1343	1244
519	1345	1242
520	1348	1239
521	1350	1236
522	1356	1237
523	1359	1234
524	1361	1231
525	1362	1227
526	1365	1225
527	1367	1222
528	1369	1219
529	1371	1216
530	1373	1212
531	1375	1209
532	1377	1206
533	1379	1203
534	1382	1201
535	1386	1200
536	1389	1197
537	1391	1194
538	1393	1192
539	1396	1189
540	1400	1187
541	1402	1185
542	1404	1181
543	1406	1179
544	1409	1176
545	1411	1173
546	1413	1170
547	1415	1167
548	1417	1164
549	1419	1161
550	1421	1158
551	1423	1155
552	1426	1152
553	1427	1149
554	1430	1146
555	1432	1144
556	1434	1140
557	1436	1137
558	1438	1135
559	1441	1132
560	1443	1129
561	1446	1127
562	1448	1124
563	1451	1122
564	1454	1119
565	1456	1116
566	1459	1114
567	1465	1114
568	1466	1111
569	1468	1107
570	1470	1105
571	1476	1104
572	1479	1102
573	1481	1099
574	1483	1096
575	1485	1093
576	1487	1090
577	1490	1087
578	1491	1084
579	1494	1082
580	1495	1078
581	1497	1075
582	1498	1071
583	1501	1069
584	1503	1066
585	1506	1064
586	1509	1061
587	1511	1059
588	1514	1056
589	1516	1053
590	1518	1050
591	1520	1048
592	1521	1044
593	1524	1041
594	1526	1038
595	1528	1036
596	1531	1033
597	1533	1031
598	1536	1028
599	1538	1025
600	1540	1023
601	1542	1019
602	1544	1017
603	1547	1014
604	1550	1011
605	1551	1008
606	1554	1006
607	1556	1003
608	1562	1003
609	1565	1001
610	1570	999
611	1572	997
612	1575	994
613	1579	992
614	1581	989
615	1583	987
616	1586	984
617	1588	981
618	1590	979
619	1593	976
620	1596	974
621	1598	971
622	1600	968
623	1602	965
624	1604	962
625	1605	959
626	1607	956
627	1609	953
628	1612	950
629	1614	948
630	1617	945
631	1619	943
632	1622	940
633	1624	937
634	1626	934
635	1628	932
636	1630	929
637	1632	926
638	1634	923
639	1637	920
640	1639	918
641	1641	915
642	1643	912
643	1645	909
644	1647	906
645	1649	904
646	1651	901
647	1653	898
648	1655	895
649	1657	892
650	1659	889
651	1661	886
652	1663	883
653	1665	881
654	1667	878
655	1669	875
656	1672	872
657	1674	870
658	1676	867
659	1678	864
660	1680	861
661	1682	859
662	1684	856
663	1686	853
664	1688	850
665	1691	848
666	1693	845
667	1695	842
668	1698	840
669	1700	837
670	1703	835
671	1705	832
672	1707	829
673	1710	827
674	1712	824
675	1715	822
676	1717	819
677	1720	817
678	1723	814
679	1725	811
680	1728	809
681	1731	807
682	1732	803
683	1734	801
684	1738	799
685	1741	797
686	1744	794
687	1747	792
688	1749	789
689	1751	787
690	1754	784
691	1756	781
692	1758	778
693	1760	776
694	1762	773
695	1764	770
696	1766	768
697	1769	765
698	1771	762
699	1773	760
700	1775	757
701	1778	754
702	1780	752
703	1782	749
704	1784	746
705	1786	743
706	1788	741
707	1791	738
708	1793	736
709	1795	733
710	1797	730
711	1799	727
712	1801	725
713	1803	722
714	1805	719
715	1807	717
716	1810	714
717	1812	711
718	1813	708
719	1816	706
720	1818	703
721	1820	700
722	1822	698
723	1824	695
724	1827	693
725	1830	690
726	1832	687
727	1834	685
728	1836	682
729	1838	680
730	1840	677
731	1842	674
732	1845	672
733	1847	669
734	1849	666
735	1851	664
736	1854	661
737	1856	658
738	1858	656
739	1860	653
740	1862	650
741	1864	648
742	1866	645
743	1868	643
744	1870	640
745	1873	637
746	1875	635
747	1876	632
748	1879	629
749	1880	626
750	1883	624
751	1885	621
752	1887	619
753	1889	616
754	1891	613
755	1893	611
756	1895	608
757	1897	605
758	1899	603
759	1902	600
760	1904	598
761	1906	595
762	1908	592
763	1910	590
764	1914	588
765	1916	585
766	1919	583
767	1922	580
768	1925	578
769	1928	576
770	1931	573
771	1935	571
772	1937	568
773	1938	566
774	1940	563
775	1942	560
776	1945	558
777	1947	555
778	1950	553
779	1952	550
780	1954	548
781	1956	545
782	1959	542
783	1961	540
784	1963	537
785	1965	535
786	1967	532
787	1969	529
788	1971	527
789	1974	524
790	1976	522
791	1978	519
792	1980	516
793	1982	514
794	1984	511
795	1986	509
796	1989	506
797	1991	504
798	1994	501
799	1997	499
800	1999	496
801	2001	494
802	2003	491
803	2005	488
804	2007	486
805	2009	483
806	2012	481
807	2014	478
808	2016	476
809	2017	473
810	2019	470
811	2020	467
812	2022	465
813	2025	462
814	2027	460
815	2029	457
816	2031	454
817	2033	452
818	2035	449
819	2037	447
820	2039	444
821	2041	442
822	2043	439
823	2045	436
824	2048	434
825	2050	431
826	2052	429
827	2054	426
828	2056	424
829	2058	421
830	2061	419
831	2064	416
832	2067	414
833	2069	411
834	2071	409
835	2074	406
836	2076	404
837	2077	401
838	2079	398
839	2081	396
840	2083	393
841	2086	391
842	2088	389
843	2091	386
844	2093	384
845	2097	381
846	2099	379
847	2102	376
848	2105	374
849	2108	372
850	2111	369
851	2113	367
852	2115	364
853	2117	362
854	2120	359
855	2122	357
856	2124	354
857	2127	352
858	2130	349
859	2133	347
860	2135	344
861	2142	342
862	2144	340
863	2148	338
864	2152	335
865	2155	333
866	2160	331
867	2164	329
868	2166	326
869	2169	324
870	2171	321
871	2173	319
872	2175	316
873	2179	314
874	2181	311
875	2184	309
876	2186	306
877	2189	304
878	2191	301
879	2194	299
880	2196	296
881	2198	294
882	2200	291
883	2202	289
884	2204	286
885	2206	283
886	2209	281
887	2211	278
888	2213	276
889	2215	273
890	2218	271
891	2220	268
892	2222	266
893	2224	263
894	2226	261
895	2228	258
896	2230	256
897	2232	253
898	2234	251
899	2237	248
900	2239	246
901	2241	243
902	2243	241
903	2246	238
904	2249	236
905	2252	233
906	2255	231
907	2257	228
908	2259	226
909	2262	223
910	2264	221
911	2266	218
912	2269	216
913	2272	213
914	2274	211
915	2276	208
916	2279	206
917	2281	203
918	2284	201
919	2286	198
920	2289	196
921	2291	193
922	2295	191
923	2298	189
924	2300	186
925	2302	184
926	2305	181
927	2308	179
928	2311	176
929	2314	174
930	2316	171
931	2318	169
932	2320	166
933	2323	164
934	2325	161
935	2328	159
936	2330	156
937	2332	154
938	2334	151
939	2336	149
940	2338	146
941	2340	144
942	2343	141
943	2345	139
944	2347	136
945	2349	134
946	2352	131
947	2354	129
948	2356	126
949	2358	124
950	2360	121
951	2362	119
952	2365	116
953	2367	114
954	2369	111
955	2371	109
956	2373	106
957	2376	104
958	2378	101
959	2380	99
960	2382	96
961	2384	94
962	2387	91
963	2389	89
964	2391	86
965	2393	84
966	2395	81
967	2397	79
968	2399	76
969	2401	74
970	2404	71
971	2406	69
972	2408	66
973	2410	64
974	2412	61
975	2414	59
976	2416	56
977	2418	54
978	2421	51
979	2423	49
980	2425	46
981	2427	44
982	2429	42
983	2432	39
984	2435	37
985	2437	34
986	2440	32
987	2442	29
988	2445	27
989	2447	24
990	2450	22
991	2452	19
992	2455	17
993	2457	14
994	2460	12
995	2462	9
996	2465	7
997	2467	4
998	2470	2
999	2472	0
