iter	Logloss
0	0.6877711438
1	0.6814291425
2	0.6762794839
3	0.6698659147
4	0.6643976055
5	0.6600223731
6	0.6549476915
7	0.6499521792
8	0.644103949
9	0.6392828342
10	0.6342932321
11	0.6296930656
12	0.6252082417
13	0.6209260874
14	0.6162767774
15	0.6116580841
16	0.6077752616
17	0.6037694964
18	0.5994478299
19	0.5969234287
20	0.5946477931
21	0.5907213349
22	0.5864977904
23	0.5832174136
24	0.5799557147
25	0.5759853191
26	0.5727090208
27	0.5689139852
28	0.5650292505
29	0.5616410839
30	0.5588373877
31	0.5557875214
32	0.552625489
33	0.5490953211
34	0.545813649
35	0.5424824613
36	0.5394221152
37	0.5363086191
38	0.5332524876
39	0.5300563607
40	0.5269863662
41	0.524105729
42	0.5215093652
43	0.5187323929
44	0.5166881018
45	0.5139015194
46	0.5121490086
47	0.5099445572
48	0.5081675488
49	0.5065691238
50	0.504153429
51	0.502408464
52	0.5006320631
53	0.4988091055
54	0.4969106057
55	0.4944893092
56	0.4933617242
57	0.4909542831
58	0.4892011888
59	0.4872632572
60	0.4854399197
61	0.4844176667
62	0.4835583883
63	0.4816229858
64	0.4796637728
65	0.4775444594
66	0.4766532869
67	0.4748646368
68	0.4737586118
69	0.4719712887
70	0.470525438
71	0.4694201027
72	0.4676772835
73	0.466448098
74	0.4649025722
75	0.4632461763
76	0.4617227134
77	0.4605523807
78	0.4596795383
79	0.4590518734
80	0.4574147541
81	0.4558808423
82	0.4547690974
83	0.4542317013
84	0.4529467898
85	0.4516329916
86	0.4507016244
87	0.4491768062
88	0.4478903696
89	0.4467157362
90	0.4456421606
91	0.4443711188
92	0.4439001025
93	0.4430194455
94	0.4419994436
95	0.4410028786
96	0.4402862347
97	0.4391233615
98	0.4382029643
99	0.4373931615
100	0.4368960813
101	0.4359334115
102	0.4353421725
103	0.4342527711
104	0.4334124519
105	0.4324723467
106	0.4316785464
107	0.4313602611
108	0.4307847166
109	0.4297312106
110	0.4290318746
111	0.42812528
112	0.4273020075
113	0.4264714248
114	0.4257210558
115	0.42540235
116	0.4250365813
117	0.424273266
118	0.424023427
119	0.4230820267
120	0.4227586131
121	0.4223377402
122	0.4213970223
123	0.4205896521
124	0.4199485831
125	0.4195763646
126	0.4189828698
127	0.4186806159
128	0.418410623
129	0.4180475018
130	0.4176782493
131	0.417018181
132	0.4166985245
133	0.4162217157
134	0.4154211943
135	0.414961183
136	0.414328075
137	0.4139591433
138	0.4133716853
139	0.4127937182
140	0.4121822553
141	0.4114031655
142	0.4106748406
143	0.4101233105
144	0.4095419682
145	0.4088038425
146	0.4083244562
147	0.4075996853
148	0.4071319007
149	0.4065873277
150	0.4059462926
151	0.4055179212
152	0.4048251859
153	0.4043301987
154	0.4037216323
155	0.4031941681
156	0.4025039238
157	0.4020017594
158	0.4016077665
159	0.401498946
160	0.4013331922
161	0.4007556957
162	0.4001435058
163	0.399856949
164	0.3997626268
165	0.3992487436
166	0.398705815
